,file name,startX,startY,endX,endY
0,20220526135533.jpg,0.35,0.08333333333333333,0.7546875,0.7916666666666666
1,20220526135535.jpg,0.3390625,0.19375,0.7703125,0.58125
2,20220526135538.jpg,0.465625,0.175,0.63125,0.3854166666666667
3,20220526135540.jpg,0.2828125,0.0,0.7234375,0.8875
4,20220526135542.jpg,0.34375,0.05625,0.684375,0.7770833333333333
5,20220526135544.jpg,0.4203125,0.03958333333333333,0.646875,0.7708333333333334
6,20220526135546.jpg,0.35625,0.32083333333333336,0.540625,0.5583333333333333
7,20220526135549.jpg,0.325,0.325,0.509375,0.5604166666666667
8,20220526135551.jpg,0.3265625,0.18958333333333333,0.721875,0.6833333333333333
9,20220526135554.jpg,0.35,0.125,0.6234375,0.6645833333333333
10,20220526135556.jpg,0.3890625,0.2,0.553125,0.6
11,20220526135558.jpg,0.2375,0.23541666666666666,0.796875,0.5416666666666666
12,20220526135600.jpg,0.4140625,0.35208333333333336,0.5703125,0.5583333333333333
13,20220802170001.jpg,0.31875,0.28958333333333336,0.5953125,0.8604166666666667
14,20220803113001.jpg,0.5109375,0.6958333333333333,0.58125,0.8395833333333333
15,20220803113021.jpg,0.51875,0.6979166666666666,0.578125,0.84375
16,20220803113142.jpg,0.525,0.6854166666666667,0.584375,0.8583333333333333
17,20220803113405.jpg,0.5125,0.69375,0.5875,0.8583333333333333
18,20220803113505.jpg,0.5171875,0.6916666666666667,0.5859375,0.8520833333333333
19,20220803113900.jpg,0.5140625,0.6875,0.5875,0.85625
20,20220803114236.jpg,0.5125,0.6979166666666666,0.5859375,0.8520833333333333
21,20220803114303.jpg,0.50625,0.6895833333333333,0.590625,0.8520833333333333
22,20220803114325.jpg,0.5,0.6895833333333333,0.5859375,0.8479166666666667
23,20220803120001.jpg,0.509375,0.6895833333333333,0.5875,0.8541666666666666
24,20220803121203.jpg,0.509375,0.6916666666666667,0.5953125,0.85625
25,20220803121356.jpg,0.5078125,0.69375,0.5890625,0.8583333333333333
26,20220803121453.jpg,0.5078125,0.6895833333333333,0.5890625,0.8520833333333333
27,20220803121518.jpg,0.509375,0.68125,0.5890625,0.8583333333333333
28,20220803121534.jpg,0.503125,0.6895833333333333,0.5875,0.8520833333333333
29,20220803121815.jpg,0.50625,0.6875,0.5859375,0.8479166666666667
30,20220803123001.jpg,0.50625,0.6916666666666667,0.590625,0.85
31,20220803130002.jpg,0.509375,0.68125,0.5921875,0.8583333333333333
32,20220803140001.jpg,0.5046875,0.6875,0.5875,0.8625
33,20220803150001.jpg,0.5,0.6916666666666667,0.5890625,0.8479166666666667
34,20220803153001.jpg,0.5046875,0.6833333333333333,0.5921875,0.8479166666666667
35,20220803160001.jpg,0.5015625,0.6875,0.590625,0.8541666666666666
36,20220803163001.jpg,0.509375,0.6895833333333333,0.590625,0.8520833333333333
37,20220803170001.jpg,0.503125,0.6833333333333333,0.590625,0.85625
38,20220803173001.jpg,0.5109375,0.68125,0.5890625,0.8458333333333333
39,20220803180001.jpg,0.5078125,0.6791666666666667,0.584375,0.8520833333333333
40,20220803183001.jpg,0.5078125,0.6833333333333333,0.5828125,0.85
41,20220803190001.jpg,0.5078125,0.6854166666666667,0.584375,0.8541666666666666
42,20220803193001.jpg,0.50625,0.6854166666666667,0.5796875,0.8520833333333333
43,20220803200001.jpg,0.50625,0.68125,0.5859375,0.8541666666666666
44,20220803203001.jpg,0.5125,0.6854166666666667,0.5875,0.8520833333333333
45,20220804030001.jpg,0.5015625,0.6875,0.5875,0.8479166666666667
46,20220804033001.jpg,0.5015625,0.6875,0.5890625,0.8541666666666666
47,20220804040001.jpg,0.5078125,0.6895833333333333,0.584375,0.8479166666666667
48,20220804043001.jpg,0.5,0.6875,0.5921875,0.8395833333333333
49,20220804050001.jpg,0.5,0.6875,0.5875,0.8520833333333333
50,20220804053001.jpg,0.5015625,0.68125,0.5875,0.8520833333333333
51,20220804060001.jpg,0.5,0.6833333333333333,0.5859375,0.8395833333333333
52,20220804063001.jpg,0.5046875,0.6791666666666667,0.5890625,0.8520833333333333
53,20220804070001.jpg,0.5015625,0.6854166666666667,0.5875,0.8520833333333333
54,20220804073001.jpg,0.509375,0.6854166666666667,0.5859375,0.8458333333333333
55,20220804080001.jpg,0.5125,0.6854166666666667,0.5859375,0.85625
56,20220804083001.jpg,0.5125,0.6833333333333333,0.584375,0.8645833333333334
